都道府県,県庁所在地,人口,面積,人口密度
北海道,札幌市,"5,181,776 ","83,424.41 ",66.08 
青森県,青森市,"1,221,288 ","9,645.62 ",126.62 
岩手県,盛岡市,"1,196,277 ","15,275.01 ",78.32 
宮城県,仙台市,"2,290,036 ","7,282.29 ",314.47 
秋田県,秋田市,"944,902 ","11,637.52 ",81.19 
山形県,山形市,"1,054,729 ","9,323.13 ",113.13 
福島県,福島市,"1,812,190 ","13,784.14 ",131.47 
茨城県,水戸市,"2,852,105 ","6,097.24 ",467.77 
栃木県,宇都宮市,"1,921,575 ","6,408.09 ",299.87 
群馬県,前橋市,"1,926,325 ","6,362.28 ",302.77 
埼玉県,さいたま市,"7,340,945 ","3,797.75 ","1,932.97 "
千葉県,千葉市,"6,280,561 ","5,157.31 ","1,217.80 "
東京都,新宿区,"14,011,487 ","2,194.05 ","6,386.13 "
神奈川県,横浜市,"9,236,428 ","2,416.11 ","3,822.85 "
新潟県,新潟市,"2,176,879 ","12,583.95 ",172.99 
富山県,富山市,"1,025,409 ","4,247.54 ",241.41 
石川県,金沢市,"1,125,146 ","4,186.20 ",268.78 
福井県,福井市,"760,209 ","4,190.52 ",181.41 
山梨県,甲府市,"805,338 ","4,465.27 ",180.36 
長野県,長野市,"2,033,181 ","13,561.56 ",149.92 
岐阜県,岐阜市,"1,960,461 ","10,621.29 ",184.58 
静岡県,静岡市,"3,606,480 ","7,777.28 ",463.72 
愛知県,名古屋市,"7,516,008 ","5,173.15 ","1,452.89 "
三重県,津市,"1,755,415 ","5,774.47 ",304.00 
滋賀県,大津市,"1,410,352 ","4,017.38 ",351.06 
京都府,京都市,"2,561,358 ","4,612.20 ",555.34 
大阪府,大阪市,"8,807,279 ","1,905.34 ","4,622.42 "
兵庫県,神戸市,"5,432,560 ","8,400.94 ",646.66 
奈良県,奈良市,"1,315,350 ","3,690.94 ",356.37 
和歌山県,和歌山市,"913,523 ","4,724.68 ",193.35 
鳥取県,鳥取市,"548,562 ","3,507.14 ",156.41 
島根県,松江市,"664,807 ","6,707.90 ",99.11 
岡山県,岡山市,"1,875,759 ","7,114.33 ",263.66 
広島県,広島市,"2,779,314 ","8,479.22 ",327.78 
山口県,山口市,"1,327,452 ","6,112.55 ",217.17 
徳島県,徳島市,"711,843 ","4,146.99 ",171.65 
香川県,高松市,"942,035 ","1,876.92 ",501.90 
愛媛県,松山市,"1,320,782 ","5,676.12 ",232.69 
高知県,高知市,"684,049 ","7,103.60 ",96.30 
福岡県,福岡市,"5,123,371 ","4,986.86 ","1,027.37 "
佐賀県,佐賀市,"805,721 ","2,440.67 ",330.12 
長崎県,長崎市,"1,296,657 ","4,130.98 ",313.89 
熊本県,熊本市,"1,727,902 ","7,409.39 ",233.20 
大分県,大分市,"1,113,749 ","6,340.70 ",175.65 
宮崎県,宮崎市,"1,060,958 ","7,735.00 ",137.16 
鹿児島県,鹿児島市,"1,576,074 ","9,186.42 ",171.57 
沖縄県,那覇市,"1,468,526 ","2,282.15 ",643.48 
